Object,Field API Name,Field Label,Data Type,Length,Precision,Scale,Required,Unique,External ID,Picklist Values,Lookup Relationship To,Relationship Name
Contact,AccountId,,Lookup,,,,true,,,,,
Contact,AssistantName,,String,,,,false,,,,,
Contact,AssistantPhone,,Phone,,,,false,,,,,
Contact,Birthdate,,Date,,,,false,,,,,
Contact,ContactSource,,String,,,,false,,,,,
Contact,Department,,String,,,,false,,,,,
Contact,Description,,TextArea,,,,false,,,,,
Contact,DoNotCall,,Boolean,,,,false,,,,,
Contact,Email,,Email,,,,false,,,,,
Contact,Fax,,Phone,,,,false,,,,,
