Object,Field API Name,Field Label,Data Type,Length,Precision,Scale,Required,Unique,External ID,Picklist Values,Lookup Relationship To,Relationship Name
Contact,AccountId,,Lookup,,,,true,,,,,,
Contact,AssistantName,,Text,,,,false,,,,,,
Contact,AssistantPhone,,Phone,,,,false,,,,,,
Contact,Birthdate,,Date,,,,false,,,,,,
Contact,ContactSource,,Text,,,,false,,,,,,
Contact,Department,,Text,,,,false,,,,,,
Contact,Description,,TextArea,,,,false,,,,,,
Contact,DoNotCall,,Checkbox,,,,false,,,,,,
Contact,Email,,Email,,,,false,,,,,,
Contact,Fax,,Phone,,,,false,,,,,,
Contact,GenderIdentity,,Picklist,,,,false,,,,,,
Contact,HasOptedOutOfEmail,,Checkbox,,,,false,,,,,,
Contact,HasOptedOutOfFax,,Checkbox,,,,false,,,,,,
Contact,HomePhone,,Phone,,,,false,,,,,,
Contact,IndividualId,,Lookup,,,,false,,,,,,
Contact,Jigsaw,,Text,,,,false,,,,,,
Contact,Languages__c,Languages,Text,100,,,,false,,,,,,
Contact,LastCURequestDate,,DateTime,,,,false,,,,,,
Contact,LastCUUpdateDate,,DateTime,,,,false,,,,,,
Contact,LeadSource,,Picklist,,,,false,,,,,,
Contact,Level__c,Level,Picklist,,,,false,,,,Primary;Secondary;Tertiary,,,
Contact,MailingAddress,,Address,,,,false,,,,,,
Contact,MobilePhone,,Phone,,,,false,,,,,,
Contact,Name,,Text,,,,true,,,,,,
Contact,OtherAddress,,Address,,,,false,,,,,,
Contact,OtherPhone,,Phone,,,,false,,,,,,
Contact,OwnerId,,Lookup,,,,true,,,,,,
Contact,Phone,,Phone,,,,false,,,,,,
Contact,Pronouns,,Picklist,,,,false,,,,,,
Contact,ReportsToId,,Lookup,,,,false,,,,,,
Contact,Title,,Text,,,,false,,,,,,
